,,,,,,,,,,,,,,,,
Presupuesto de Potencia,Distancia,Atenuación por km,Amplificación/Atenuación (dB),Potencia acumulada (dBm),400 Gbps,NF (dB),OSNR canal (dB),OSNR canal (veces),OSNR acumulada (dB),OSNR acumulada (veces),1/GSNR NL,GSNR NL (dB),GSNR NL (veces),GSNR NL acumulada (dB),GSNR NL acumulada (veces),GSNR Total (dB)
Preamplificador (ROADM),,,18.45,-2.00,,5.50,32.00,1585.47,18.40,69.20,,,,34.90,3087.93,18.30
Corralito,,,,,,,,,,,,,,,,
ROADM (Pérdida Mux/Demux/Express),,,-18.00,-20.00,,,,,18.40,69.20,,,,34.90,3087.93,18.30
Amplificador Booster (ROADM),,,18.00,-2.00,,5.50,32.45,1758.56,18.23,66.58,,,,34.90,3087.93,18.14
Fibra,95.00,0.2111,-20.55,-22.55,,,,,18.23,66.58,3.06e-05,45.14,32642.37,34.50,2821.06,18.13
Preamplificador (ROADM),,,20.55,-2.00,,5.50,29.90,977.59,17.95,62.33,,,,34.50,2821.06,17.85
Hernando,,,,,,,,,,,,,,,,
ROADM (Pérdida Mux/Demux/Express),,,-18.00,-20.00,,,,,17.95,62.33,,,,34.50,2821.06,17.85
Amplificador Booster (ROADM),,,18.00,-2.00,,5.50,32.45,1758.56,17.80,60.20,,,,34.50,2821.06,17.70
Fibra,88.00,0.2111,-19.08,-21.08,,,,,17.80,60.20,3.05e-05,45.16,32799.26,34.15,2597.64,17.70
Preamplificador (ROADM),,,19.08,-2.00,,5.50,31.37,1371.38,17.61,57.67,,,,34.15,2597.64,17.51
Chucul,,,,,,,,,,,,,,,,
ROADM (Pérdida Mux/Demux/Express),,,-18.00,-20.00,,,,,17.61,57.67,,,,34.15,2597.64,17.51
Amplificador Booster (ROADM),,,18.00,-2.00,,5.50,32.45,1758.56,17.47,55.84,,,,34.15,2597.64,17.38
Fibra,91.00,0.2111,-19.71,-21.71,,,,,17.47,55.84,3.06e-05,45.15,32725.64,33.81,2406.61,17.37
ILA Node (Amplificador de Línea),,,,,,,,,,,,,,,,
Amplificador de Línea (EDFA),,,19.71,-2.00,,5.50,30.74,1186.20,17.27,53.33,,,,33.81,2406.61,17.17
Fibra,93.00,0.2111,-20.13,-22.13,,,,,17.27,53.33,3.06e-05,45.14,32682.05,33.51,2241.55,17.17
Preamplificador (ROADM),,,20.13,-2.00,,5.50,30.32,1076.86,17.06,50.81,,,,33.51,2241.55,16.96
V. Mercedes,,,,,,,,,,,,,,,,
ROADM (Pérdida Mux/Demux/Express),,,-18.00,-20.00,,,,,17.06,50.81,,,,33.51,2241.55,16.96
Amplificador Booster (ROADM),,,18.00,-2.00,,5.50,32.45,1758.56,16.94,49.38,,,,33.51,2241.55,16.84
Fibra,87.00,0.2111,-18.87,-20.87,,,,,16.94,49.38,3.05e-05,45.16,32826.24,33.22,2098.27,16.83
Preamplificador (ROADM),,,18.87,-2.00,,5.50,31.58,1439.32,16.79,47.75,,,,33.22,2098.27,16.69
San Luis,,,,,,,,,,,,,,,,
ROADM (Pérdida Mux/Demux/Express),,,-18.00,-20.00,,,,,16.79,47.75,,,,33.22,2098.27,16.69
Amplificador Booster (ROADM),,,18.00,-2.00,,5.50,32.45,1758.56,16.67,46.48,,,,33.22,2098.27,16.58
