======================================================================
  REPORTE: ASIGNACIÓN DE DEMANDAS REFEFO CON MILP (PuLP-CBC)
======================================================================

Estado base: /home/maximo/opticas/TpOpticas/Pablo_punto5/ocupacion_base_milp.csv
Demandas:    /home/maximo/opticas/TpOpticas/Pablo_punto5/refefo/demandas_refefo.csv
Big-M:       310
TimeLimit:   120s | GapRel: 0.05

--- ESTADO BASE ---
  Enlaces:          446
  Slots ocupados:   7074 / 135584
  S_max:            136

--- MODELO MILP ---
  Variables totales:    3898
  Restricciones:        7594
  Vars base (z):        409
  Vars solapamiento (x): 3288
  Estado solver:        Not Solved
  Tiempo:               120.00s

--- RESULTADOS REFEFO ---
  Demandas REFEFO totales:        200
  Demandas asignadas con éxito:   0
  Demandas bloqueadas:            200
  Probabilidad de bloqueo:        100.00%

--- ESTADO FINAL DE LA RED ---
  Enlaces:          446
  Slots ocupados:   7074 / 135584
  Ocupación:        5.22%
  S_max:            136

  Δ Slots ocupados: +0
  Δ S_max:          136 → 136

--- DETALLE POR DEMANDA ---
 Iter | Source                    | Destination               |  Gbps | Resultado                           | K_Path |  Slot
   57 | Tostado                   | Caleta Olivia             |   300 | BLOQUEADA (infactible)              |      - |     -
   58 | El Condor                 | Picun Leufu               |   100 | BLOQUEADA (infactible)              |      - |     -
   59 | General Conesa            | Paso de Los Libres        |   400 | BLOQUEADA (infactible)              |      - |     -
   60 | San Martin de los Andes   | Tostado                   |   200 | BLOQUEADA (infactible)              |      - |     -
   61 | Chacabuco                 | Esquel                    |   200 | BLOQUEADA (infactible)              |      - |     -
   62 | San Jose de Metan         | Paso de Los Libres        |   100 | BLOQUEADA (infactible)              |      - |     -
   63 | Chacabuco                 | Sunchales                 |   400 | BLOQUEADA (infactible)              |      - |     -
   64 | Caleta Olivia             | Exaltacion de la Cruz     |   400 | BLOQUEADA (infactible)              |      - |     -
   65 | El Foyel                  | Lib Gral San Martin       |   400 | BLOQUEADA (infactible)              |      - |     -
   66 | Salvador Mazza            | Ceres                     |   400 | BLOQUEADA (infactible)              |      - |     -
   67 | Bahia Blanca              | Epuyen                    |   300 | BLOQUEADA (infactible)              |      - |     -
   68 | Corrientes                | Puerto Madryn             |   200 | BLOQUEADA (infactible)              |      - |     -
   69 | Sunchales                 | Colonia Las Heras         |   100 | BLOQUEADA (infactible)              |      - |     -
   70 | El Calafate               | Usuahia                   |   200 | BLOQUEADA (infactible)              |      - |     -
   71 | San Jose de Jachal        | Jaramillo                 |   300 | BLOQUEADA (infactible)              |      - |     -
   72 | Tres Arroyos              | Pinamar                   |   300 | BLOQUEADA (infactible)              |      - |     -
   73 | Catamarca                 | La Plata                  |   200 | BLOQUEADA (infactible)              |      - |     -
   74 | Resistencia               | Salvador Mazza            |   200 | BLOQUEADA (infactible)              |      - |     -
   75 | Dina Huapi                | Clorinda                  |   400 | BLOQUEADA (infactible)              |      - |     -
   76 | La Rioja                  | Presidencia Roque Saenz Peña |   300 | BLOQUEADA (infactible)              |      - |     -
   77 | Arroyito                  | San Salvador de Jujuy     |   300 | BLOQUEADA (infactible)              |      - |     -
   78 | Chilecito                 | V. Mercedes               |   200 | BLOQUEADA (infactible)              |      - |     -
   79 | Luis Piedrabuena          | Salvador Mazza            |   400 | BLOQUEADA (infactible)              |      - |     -
   80 | Epuyen                    | Lib Gral San Martin       |   300 | BLOQUEADA (infactible)              |      - |     -
   81 | Jardin America            | Chivilcoy                 |   100 | BLOQUEADA (infactible)              |      - |     -
   82 | Santiago del Estero       | Vera                      |   300 | BLOQUEADA (infactible)              |      - |     -
   83 | San Carlos de Bariloche   | Vera                      |   300 | BLOQUEADA (infactible)              |      - |     -
   84 | San Jose de Jachal        | Gobernador Gregores       |   300 | BLOQUEADA (infactible)              |      - |     -
   85 | Puerto San Julian         | San Nicolas de los Arroyos |   200 | BLOQUEADA (infactible)              |      - |     -
   86 | Resistencia               | El Foyel                  |   300 | BLOQUEADA (infactible)              |      - |     -
   87 | Perito Moreno             | Caleta Olivia             |   200 | BLOQUEADA (infactible)              |      - |     -
   88 | Peru                      | Chivilcoy                 |   300 | BLOQUEADA (infactible)              |      - |     -
   89 | Formosa                   | Patquia                   |   300 | BLOQUEADA (infactible)              |      - |     -
   90 | Dean Funes                | Choromoro                 |   100 | BLOQUEADA (infactible)              |      - |     -
   91 | Bolivar                   | Marcos Paz                |   200 | BLOQUEADA (infactible)              |      - |     -
   92 | El Calafate               | Estacion Cullen           |   200 | BLOQUEADA (infactible)              |      - |     -
   93 | Luis Piedrabuena          | San Marcos                |   300 | BLOQUEADA (infactible)              |      - |     -
   94 | Santa Maria               | CABA                      |   400 | BLOQUEADA (infactible)              |      - |     -
   95 | Luis Piedrabuena          | Chacabuco                 |   300 | BLOQUEADA (infactible)              |      - |     -
   96 | Chascomus                 | San Carlos de Bariloche   |   400 | BLOQUEADA (infactible)              |      - |     -
   97 | Winifreda                 | Epuyen                    |   400 | BLOQUEADA (infactible)              |      - |     -
   98 | Arroyito (Nqn)            | Paso de Los Libres        |   400 | BLOQUEADA (infactible)              |      - |     -
   99 | Estacion Cullen           | Rio Grande                |   400 | BLOQUEADA (infactible)              |      - |     -
  100 | Campana                   | San Fabian                |   200 | BLOQUEADA (infactible)              |      - |     -
  101 | Salvador Mazza            | Catriel                   |   300 | BLOQUEADA (infactible)              |      - |     -
  102 | Patquia                   | San Salvador de Jujuy     |   100 | BLOQUEADA (infactible)              |      - |     -
  103 | Victorica                 | Perito Moreno             |   200 | BLOQUEADA (infactible)              |      - |     -
  104 | Buta Ranquil              | Marcos Paz                |   400 | BLOQUEADA (infactible)              |      - |     -
  105 | Zapala                    | Bajo Caracoles            |   100 | BLOQUEADA (infactible)              |      - |     -
  106 | Perito Moreno             | Dolores                   |   100 | BLOQUEADA (infactible)              |      - |     -
  107 | Viedma                    | Leones                    |   100 | BLOQUEADA (infactible)              |      - |     -
  108 | Rio Mayo                  | Bolivar                   |   200 | BLOQUEADA (infactible)              |      - |     -
  109 | Tunuyan                   | Santa Fe                  |   200 | BLOQUEADA (infactible)              |      - |     -
  110 | San Martin de los Andes   | Peru                      |   100 | BLOQUEADA (infactible)              |      - |     -
  111 | El Condor                 | Clorinda                  |   400 | BLOQUEADA (infactible)              |      - |     -
  112 | Victorica                 | Baradero                  |   200 | BLOQUEADA (infactible)              |      - |     -
  113 | Embarcacion               | Baradero                  |   100 | BLOQUEADA (infactible)              |      - |     -
  114 | Cañada De Gomez           | Rawson                    |   200 | BLOQUEADA (infactible)              |      - |     -
  115 | Patquia                   | San Salvador de Jujuy     |   300 | BLOQUEADA (infactible)              |      - |     -
  116 | Azul                      | San Martin de los Andes   |   200 | BLOQUEADA (infactible)              |      - |     -
  117 | Cap Juan Page             | Exaltacion de la Cruz     |   400 | BLOQUEADA (infactible)              |      - |     -
  118 | Neuquen                   | Picun Leufu               |   200 | BLOQUEADA (infactible)              |      - |     -
  119 | Azul                      | Tres lagos                |   400 | BLOQUEADA (infactible)              |      - |     -
  120 | Colonia Las Heras         | Gobernador Gregores       |   200 | BLOQUEADA (infactible)              |      - |     -
  121 | Zarate                    | San Marcos                |   400 | BLOQUEADA (infactible)              |      - |     -
  122 | San Jose de Metan         | General Roca              |   300 | BLOQUEADA (infactible)              |      - |     -
  123 | Pico Truncado             | Chacabuco                 |   400 | BLOQUEADA (infactible)              |      - |     -
  124 | Chacabuco                 | Embarcacion               |   200 | BLOQUEADA (infactible)              |      - |     -
  125 | La Quiaca                 | Concordia                 |   300 | BLOQUEADA (infactible)              |      - |     -
  126 | Rufino                    | Sargento Vidal            |   100 | BLOQUEADA (infactible)              |      - |     -
  127 | Rio Mayo                  | Buta Ranquil              |   100 | BLOQUEADA (infactible)              |      - |     -
  128 | CABA                      | Tres Arroyos              |   100 | BLOQUEADA (infactible)              |      - |     -
  129 | San Martin de los Andes   | Victorica                 |   100 | BLOQUEADA (infactible)              |      - |     -
  130 | San Sebastian             | Chucul                    |   300 | BLOQUEADA (infactible)              |      - |     -
  131 | Junin de los Andes        | Comodoro Rivadavia        |   400 | BLOQUEADA (infactible)              |      - |     -
  132 | Jesus Maria               | Jardin America            |   200 | BLOQUEADA (infactible)              |      - |     -
  133 | Jardin America            | Chascomus                 |   400 | BLOQUEADA (infactible)              |      - |     -
  134 | Leones                    | Santiago del Estero       |   400 | BLOQUEADA (infactible)              |      - |     -
  135 | Benavidez                 | General Roca              |   300 | BLOQUEADA (infactible)              |      - |     -
  136 | San Fabian                | San Luis                  |   300 | BLOQUEADA (infactible)              |      - |     -
  137 | Tecka                     | Arrecifes                 |   400 | BLOQUEADA (infactible)              |      - |     -
  138 | Añatuya                   | Leones                    |   200 | BLOQUEADA (infactible)              |      - |     -
  139 | Vera                      | Chascomus                 |   200 | BLOQUEADA (infactible)              |      - |     -
  140 | San Carlos de Bariloche   | Arrecifes                 |   100 | BLOQUEADA (infactible)              |      - |     -
  141 | Olavarria                 | Chivilcoy                 |   300 | BLOQUEADA (infactible)              |      - |     -
  142 | Rosario                   | Formosa                   |   100 | BLOQUEADA (infactible)              |      - |     -
  143 | Abasto                    | Chivilcoy                 |   400 | BLOQUEADA (infactible)              |      - |     -
  144 | Tecka                     | Rio Gallegos              |   200 | BLOQUEADA (infactible)              |      - |     -
  145 | Aguada Cecilio            | Ceres                     |   200 | BLOQUEADA (infactible)              |      - |     -
  146 | Tres Arroyos              | Las Armas                 |   300 | BLOQUEADA (infactible)              |      - |     -
  147 | Hernando                  | Humahuaca                 |   200 | BLOQUEADA (infactible)              |      - |     -
  148 | Chucul                    | Caleta Olivia             |   400 | BLOQUEADA (infactible)              |      - |     -
  149 | Lib Gral San Martin       | Mercedes                  |   300 | BLOQUEADA (infactible)              |      - |     -
  150 | Concepcion                | San Jose                  |   400 | BLOQUEADA (infactible)              |      - |     -
  151 | Choele Choel              | Las Lomitas               |   400 | BLOQUEADA (infactible)              |      - |     -
  152 | Gobernador Gregores       | Bolivar                   |   200 | BLOQUEADA (infactible)              |      - |     -
  153 | Jesus Maria               | 9 De Julio                |   100 | BLOQUEADA (infactible)              |      - |     -
  154 | Parana                    | Corralito                 |   300 | BLOQUEADA (infactible)              |      - |     -
  155 | El Foyel                  | Salta                     |   200 | BLOQUEADA (infactible)              |      - |     -
  156 | Cordoba                   | Posadas                   |   400 | BLOQUEADA (infactible)              |      - |     -
  157 | San Nicolas de los Arroyos | Las Lomitas               |   100 | BLOQUEADA (infactible)              |      - |     -
  158 | San Juan                  | Jaramillo                 |   100 | BLOQUEADA (infactible)              |      - |     -
  159 | Santa Isabel              | Rosario                   |   200 | BLOQUEADA (infactible)              |      - |     -
  160 | Tandil                    | Gral. Alvear              |   400 | BLOQUEADA (infactible)              |      - |     -
  161 | Peru                      | Belen                     |   200 | BLOQUEADA (infactible)              |      - |     -
  162 | San Nicolas de los Arroyos | Leones                    |   400 | BLOQUEADA (infactible)              |      - |     -
  163 | Chacabuco                 | Marcos Paz                |   300 | BLOQUEADA (infactible)              |      - |     -
  164 | Catamarca                 | Buta Ranquil              |   300 | BLOQUEADA (infactible)              |      - |     -
  165 | Santa Rosa (Mza)          | Parana                    |   300 | BLOQUEADA (infactible)              |      - |     -
  166 | Patquia                   | San Francisco             |   100 | BLOQUEADA (infactible)              |      - |     -
  167 | Arrecifes                 | Corralito                 |   100 | BLOQUEADA (infactible)              |      - |     -
  168 | General Roca              | Puerto Madryn             |   300 | BLOQUEADA (infactible)              |      - |     -
  169 | San Jose de Jachal        | San Antonio Oeste         |   200 | BLOQUEADA (infactible)              |      - |     -
  170 | Pico Truncado             | Winifreda                 |   200 | BLOQUEADA (infactible)              |      - |     -
  171 | Luis Piedrabuena          | Trenque Lauquen           |   100 | BLOQUEADA (infactible)              |      - |     -
  172 | Esquel                    | General Roca              |   300 | BLOQUEADA (infactible)              |      - |     -
  173 | Catriel                   | Rio Mayo                  |   300 | BLOQUEADA (infactible)              |      - |     -
  174 | Corrientes                | Santa Fe                  |   300 | BLOQUEADA (infactible)              |      - |     -
