Region;Origen;Destino;Cantidad de Enlaces;Velocidad [Gbps];Ruta;Distancia_km;GSNR_Total_dB;Umbral_OSNR_dB;Factible;Necesito_Regeneracion;Reg_Factible;Reg_Count;Ruta_Regenerada;Nodos_Regeneradores;Necesito Bajada;Factible con bajada;Velocidad_Ajustada [Gbps];GSNR_Total_dB;Umbral_OSNR_dB
Norte;La Falda;Cordoba;4;100;La Falda - Cordoba;85;28.96;11.80;SI;NO;;0;;;NO;;;;
Norte;Tucuman;Concepcion;1;200;Tucuman - Concepcion;80;29.05;20.50;SI;NO;;0;;;NO;;;;
Norte;Tucuman;Catamarca;1;200;Tucuman - Concepcion - Catamarca;237.8;23.77;20.50;SI;NO;;0;;;NO;;;;
Norte;Tucuman;La Rioja;1;200;Tucuman - Concepcion - Catamarca - La Rioja;423.2;21.46;20.50;SI;NO;;0;;;NO;;;;
Norte;Tucuman;Patquia;1;200;Tucuman - Concepcion - Catamarca - La Rioja - Patquia;503.2;20.84;20.50;SI;NO;;0;;;NO;;;;
Norte;Concepcion;Cordoba;1;200;Concepcion - Catamarca - La Rioja - Cordoba;767.71;9.81;20.50;NO;SI;SI;1;Concepcion -> Catamarca (24.44 dB) -> La Rioja (21.72 dB) [REG]-> Cordoba (22.20 dB);La Rioja;NO;;;;
Norte;Catamarca;Cordoba;1;200;Catamarca - La Rioja - Cordoba;609.91;9.94;20.50;NO;SI;SI;1;Catamarca -> La Rioja (24.24 dB) [REG]-> Cordoba (22.20 dB);La Rioja;NO;;;;
Norte;La Rioja;Cordoba;1;200;La Rioja - Cordoba;424.51;10.06;20.50;NO;SI;SI;0;La Rioja -> Cordoba (22.20 dB);;NO;;;;
Norte;Patquia;Cordoba;1;200;Patquia - Cordoba;374.09;15.07;20.50;NO;SI;SI;0;Patquia -> Cordoba (21.63 dB);;NO;;;;
Norte;Serrezuela;Cordoba;1;200;Serrezuela - Cordoba;230;26.05;20.50;SI;NO;;0;;;NO;;;;
Norte;Tucuman;Concepcion;4;100;Tucuman - Concepcion;80;29.05;11.80;SI;NO;;0;;;NO;;;;
Norte;Concepcion;Catamarca;4;100;Concepcion - Catamarca;157.8;25.07;11.80;SI;NO;;0;;;NO;;;;
Norte;Catamarca;La Rioja;4;100;Catamarca - La Rioja;185.4;25.08;11.80;SI;NO;;0;;;NO;;;;
Norte;La Rioja;Patquia;4;100;La Rioja - Patquia;80;29.05;11.80;SI;NO;;0;;;NO;;;;
Norte;Patquia;Serrezuela;4;100;Patquia - Serrezuela;226.3;20.79;11.80;SI;NO;;0;;;NO;;;;
Norte;Serrezuela;Cordoba;4;100;Serrezuela - Cordoba;230;26.05;11.80;SI;NO;;0;;;NO;;;;
Norte;Tucuman;Santiago del Estero;1;200;Tucuman - Santiago del Estero;193;25.94;20.50;SI;NO;;0;;;NO;;;;
Norte;Tucuman;Frias;1;200;Tucuman - Santiago del Estero - Frias;365;23.42;20.50;SI;NO;;0;;;NO;;;;
Norte;Tucuman;Dean Funes;1;200;Tucuman - Santiago del Estero - Frias - Dean Funes;592;22.05;20.50;SI;NO;;0;;;NO;;;;
Norte;Tucuman;Jesus Maria;1;200;Tucuman - Santiago del Estero - Frias - Dean Funes - Jesus Maria;677;21.34;20.50;SI;NO;;0;;;NO;;;;
Norte;Tucuman;Cordoba;1;200;Tucuman - Santiago del Estero - Frias - Dean Funes - Jesus Maria - Cordoba;731;20.93;20.50;SI;NO;;0;;;NO;;;;
Norte;Santiago del Estero;Cordoba;1;200;Santiago del Estero - Frias - Dean Funes - Jesus Maria - Cordoba;538;22.45;20.50;SI;NO;;0;;;NO;;;;
Norte;Frias;Cordoba;1;200;Frias - Dean Funes - Jesus Maria - Cordoba;366;24.34;20.50;SI;NO;;0;;;NO;;;;
Norte;Dean Funes;Cordoba;1;200;Dean Funes - Jesus Maria - Cordoba;139;27;20.50;SI;NO;;0;;;NO;;;;
Norte;Jesus Maria;Cordoba;1;200;Jesus Maria - Cordoba;54;30.54;20.50;SI;NO;;0;;;NO;;;;
Norte;Tucuman;Santiago del Estero;4;100;Tucuman - Santiago del Estero;193;25.94;11.80;SI;NO;;0;;;NO;;;;
Norte;Santiago del Estero;Frias;4;100;Santiago del Estero - Frias;172;26.65;11.80;SI;NO;;0;;;NO;;;;
Norte;Frias;Dean Funes;4;100;Frias - Dean Funes;227;27.33;11.80;SI;NO;;0;;;NO;;;;
